time,pos,bid,score,first,trump,tricks
1539493197,2,1,0,2,S,"H8,H2,HA,HK;HQ,S6,H3,S4;S2,S9,S10,SA;C5,S8,D7,SK;C3,C2,C7,CK;D4,D10,DA,DQ;H9,C10,H5,S7;C6,CQ,CA,SJ;HJ,DJ,D5,C9"
1539493197,2,1,0,2,D,"SA,S2,S7,S3;DJ,DQ,D8,D4;S10,S5,S9,D7;H8,H9,HJ,H2;C3,C9,C6,C4;DA,S8,SQ,H4;HQ,H6,H5,HK;H7,D3,C2,HA;H3,SJ,SK,C7;H10,D5,CA,D9"
1539493197,2,3,13,2,S,"D8,DJ,DQ,D3;D10,SK,S3,SQ;DK,S4,SJ,S10;C9,CK,C10,C6;D5,S7,S5,S9;H2,H3,H8,HA;HK,H4,H10,HQ;C3,C5,C8,S2;H7,H6,CQ,HJ;D4,D2,D7,D6;H9,S6,C2,D9"
1539493197,2,4,0,2,C,"HK,H6,HJ,HA;D8,D6,D4,DA;C7,CK,C2,CQ;SJ,S2,SA,SQ;S10,SK,S8,S7;C3,S5,S3,S6;H8,H10,H9,H3;DJ,S4,S9,C5;H2,H5,D10,H7;CJ,C9,C8,C6;HQ,DQ,CA,D2;D7,D9,C4,D5"
1539493197,2,4,14,2,S,"H5,H8,H9,H6;C2,C4,C10,CA;SJ,S4,SK,S5;D9,D5,D3,D2;DA,D6,DK,D10;D8,S3,SA,D4;C3,CQ,CJ,C9;HJ,S8,S6,SQ;DQ,C7,CK,C6;H3,HQ,H4,D7;HK,S7,S2,C8"
1539493197,2,3,0,2,C,"SA,S3,S4,S2;D10,C5,D2,D5;SJ,S5,S7,C3;D8,H9,D6,DA;C9,S9,C2,C4;H5,S8,H4,H7;CA,SK,C10,C6;HK,SQ,HJ,H8;DQ,S6,H6,C7;D3,S10,CJ,CK"
1539493197,2,2,12,2,C,"CK,CQ,CA,C6;H9,D2,DQ,DA;S3,D8,D5,D3;S2,S5,SA,C2;S9,DJ,C8,D6;HA,H5,HQ,H6;S7,S10,S4,H2;H4,H10,SJ,H3;C5,H8,SK,DK"
1539493197,2,1,0,2,S,"DA,D7,D10,DK;D8,S6,D3,DJ;SJ,S5,SA,SQ;C2,HQ,H4,H5;D4,S8,C10,S7;D5,S9,CK,S4;D9,H3,H6,C6;D6,CA,D2,C7"
1539493197,2,2,0,2,H,"C6,CJ,C8,C2;SQ,S4,SA,SK;D7,D10,D6,D5;CK,H8,H2,H3;C10,HQ,H5,D2;S5,HK,S3,C5;DK,DA,S7,C9"
1539493197,2,0,0,2,S,"SJ,S2,C7,H3;H10,S5,H2,H4;S7,SQ,CQ,C8;D2,SK,D7,D9;H8,C2,C4,D10;D4,DJ,CJ,DA"
